species,lures,conditions,bestTime,bestSeason
Asian Carp,Bread balls doughbait grass jigs,Warm calm water 65-80°F,Early morning late evening,Spring Summer
Coho Salmon,Spoons spinners flies wobblers,Cold clear water 45-55°F,Early morning dawn,Spring Fall
Lake Herring,Small jigs spoons tiny spinners,Cold deep water 40-55°F,Early morning late evening,Fall Winter
Lake Sturgeon,Nightcrawlers spawn sacks cut bait,Slow current murky bottom 50-65°F,Night early morning,Spring Fall
Lake Trout,Spoons jigs live smelt trolling lures,Cold deep water 40-55°F,Early morning late evening,Spring Fall Winter
Lake Whitefish,Small jigs flies wet nymphs,Cold clear water 45-55°F,Early morning,Fall Winter
Largemouth Bass,Plastic worms crankbaits topwater spinnerbaits,Warm weedy shallow water 65-80°F,Early morning late evening,Spring Summer
Menominee,Small jigs worms nymphs,Cold deep water 45-55°F,Early morning,Fall Winter
Muskellunge,Large bucktails jerkbaits swimbaits crankbaits,Clear warm water 60-75°F,Late afternoon evening,Spring Summer Fall
Northern Pike,Spoons spinners jerkbaits large swimbaits,Cool weedy water 55-70°F,Early morning late evening,Spring Fall
Pink Salmon,Spoons spinners flies egg patterns,Cold clear water 45-58°F,Early morning,Summer Fall
Atlantic Salmon,Wet flies dry flies streamers spoons,Cold clear water 45-60°F,Early morning late evening,Spring Fall
Rock Bass,Small jigs worms crayfish spinners,Warm rocky shallow water 60-75°F,Morning evening,Spring Summer
Smallmouth Bass,Ned rigs tubes swimbaits crayfish,Clear cool rocky water 60-75°F,Early morning late evening,Spring Fall
Smelt,Small jigs tiny spoons dip nets,Cold clear water 40-50°F,Night early morning,Spring Winter
Steelhead,Spawn sacks flies spoons jigs,Cold clear water 38-55°F,Early morning,Spring Fall
Walleye,Jigs crankbaits live nightcrawlers,Murky cool water 55-70°F,Dusk dawn night,Spring Fall
White Bass,Crankbaits spinners jigs topwater,Warm clear water 65-75°F,Early morning evening,Spring Summer
White Sucker,Worms doughbait small jigs,Cool shallow water 50-65°F,Early morning,Spring Fall
Yellow Perch,Small jigs minnows worms spoons,Cool clear water 60-72°F,Morning midday,Spring Summer Fall
Alewife,Small spoons tiny jigs,Cold open water 45-58°F,Early morning,Spring Fall
Bluntnose Minnow,Tiny hooks worms small jigs,Warm shallow weedy water 65-75°F,Morning,Spring Summer
Bluegill,Worms small jigs crickets flies,Warm shallow weedy water 65-80°F,Early morning late evening,Spring Summer
Creek Chub,Small spinners worms flies,Cool clear streams 55-70°F,Morning,Spring Summer
Emerald Shiner,Tiny jigs small hooks,Cool open water 55-68°F,Morning,Spring Summer Fall
Fathead Minnow,Tiny hooks worms,Warm shallow water 65-75°F,Morning,Spring Summer
Golden Shiner,Small jigs tiny spinners worms,Warm weedy water 65-78°F,Morning evening,Spring Summer
Rainbow Smelt,Small jigs dip nets,Cold clear water 38-50°F,Night early morning,Winter Spring
Sand Shiner,Tiny hooks worms small jigs,Warm sandy shallow water 65-75°F,Morning,Spring Summer
Spottail Shiner,Tiny hooks worms,Warm shallow water 60-72°F,Morning,Spring Summer
Bowfin,Large jigs spinnerbaits topwater frogs,Warm weedy murky water 65-80°F,Early morning evening,Spring Summer
Brook Trout,Dry flies wet flies worms spinners,Cold clear streams 50-65°F,Early morning late evening,Spring Fall
Brown Bullhead,Worms cut bait chicken liver,Warm muddy bottom 65-80°F,Night early morning,Spring Summer
Brown Trout,Spoons spinners flies minnows,Cool clear water 55-68°F,Early morning late evening,Spring Fall
Channel Catfish,Nightcrawlers stink bait cut bait,Warm deep water 70-85°F,Night dusk,Spring Summer
Chinook Salmon,Large spoons flashers flies trolling lures,Cold deep water 45-55°F,Early morning,Summer Fall
